current_time,temp,humidity,main
2026-03-05 05:37:48,11.76,40,Clear
2026-03-05 06:06:52,11.76,43,Haze
2026-03-05 07:07:20,11.76,43,Haze
2026-03-05 07:51:19,10.76,46,Haze
2026-03-05 08:24:05,10.76,46,Clouds
2026-03-05 09:05:01,7.36,73,Rain
2026-03-05 09:58:41,5.74,86,Rain
2026-03-05 10:41:33,4.74,91,Rain
2026-03-05 11:20:58,4.74,91,Rain
2026-03-05 11:51:07,3.76,93,Rain
2026-03-05 12:28:31,1.76,100,Rain
2026-03-05 13:41:41,-0.24,100,Snow
2026-03-05 14:28:59,0.76,100,Snow
2026-03-05 15:25:48,0.76,100,Snow
2026-03-05 16:08:24,0.76,100,Snow
2026-03-05 18:18:50,2.22,86,Clouds
2026-03-05 19:38:04,-0.24,100,Mist
2026-03-05 20:07:07,-0.24,100,Mist
2026-03-05 20:51:09,-0.24,100,Mist
2026-03-05 21:21:03,2.67,74,Clouds
2026-03-05 21:54:20,2.19,79,Clouds
2026-03-05 22:20:44,0.76,100,Mist
2026-03-05 23:31:29,2,78,Clouds
2026-03-06 00:04:49,1.76,93,Mist
2026-03-06 02:47:37,3.76,81,Mist
2026-03-06 04:23:53,3.76,75,Clouds
2026-03-06 05:28:14,3.37,58,Clouds
2026-03-06 06:05:15,3.76,70,Mist
2026-03-06 07:04:52,2.76,75,Haze
